replay id;replay title;map;date;team name;score;goals;assists;saves;shots;shots conceded;goals conceded;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;total distance;time slow speed;time boost speed;time supersonic speed;time on ground;time low in air;time high in air;time powerslide;count powerslide;time in front of ball;time behind ball;time in front of ball;time defensive half;time offensive half;time defensive third;time neutral third;time offensive third;demos inflicted;demos taken
85ac70b6-4a16-4ebe-aa6c-0347ca055ff5;2020-02-09.19.38 Kuzon Ranked Standard Loss;;2020-02-09 19:38:36;FaithFazer & Kaczoland & PadS;1073;1;1;8;3;9;0;33.33;1059;150.94;5553;3342;2211;40;184;1152;605;547;8;49;98.64;98.46;379;722;215;1348192;444.67;378.28;111.78;506.34;384.41;44;26.03;256;247.21;687.55;247.21;643.04;291.7;489.29;289.56;155.89;4;5
85ac70b6-4a16-4ebe-aa6c-0347ca055ff5;2020-02-09.19.38 Kuzon Ranked Standard Loss;;2020-02-09 19:38:36;Sneakyb4stard & Kuzon & Chaos;470;0;0;1;9;3;1;0;1337;155.21;7045;5349;1696;63;154;2034;1551;483;17;44;133.26;85.58;953;959;158;1459030;373.64;402.53;161.77;535.37;365.75;36.8;17.84;137;295.79;642.13;295.79;529.93;408;346.94;357.76;233.23;5;4
83b6be75-274f-4209-97f6-c783aa5e1ad4;2020-02-11.16.15 Kuzon Ranked Standard Win;Neo Tokyo (Standard);2020-02-11 16:15:57;Sneakyb4stard & Kuzon & Chaos;1477;5;5;4;8;9;4;62.5;1255;148.24;7795;5788;2007;72;175;1479;829;650;10;58;102.59;116.97;948;1270;190;1676545;485.74;493.76;190.01;657.87;474.76;36.88;19.92;169;288.69;880.8;288.69;727.67;441.82;539.37;362.95;267.17;1;2
83b6be75-274f-4209-97f6-c783aa5e1ad4;2020-02-11.16.15 Kuzon Ranked Standard Win;Neo Tokyo (Standard);2020-02-11 16:15:57;Lord of the Smurfs & Stylerzz & MRK;1266;4;3;2;9;8;5;44.44;923;141.22;5743;4066;1677;50;142;712;242;470;3;33;109.01;190.33;445;989;57;1522173;647.45;425.46;101.45;672.85;458.77;42.74;30.4;241;340.84;833.54;340.84;851;323.37;656.95;347.73;169.69;2;1
aecf6ae5-d166-4b52-aeb7-909c4424cff9;2019-10-16.15.36 Vanoooo Ranked Standard Win;Farmstead (The Upside Down);2019-10-16 15:36:15;Sneakyb4stard & Kuzon & Chaos;1716;3;2;9;8;18;4;37.5;1138;147.79;8599;5859;2740;70;230;1711;875;836;11;58;160.9;114.04;819;1167;216;1964608;643.98;614.69;140.26;800.51;529.98;68.43;25.91;197;441.74;957.18;441.74;963.15;435.77;735.37;427.13;236.4;2;1
aecf6ae5-d166-4b52-aeb7-909c4424cff9;2019-10-16.15.36 Vanoooo Ranked Standard Win;Farmstead (The Upside Down);2019-10-16 15:36:15;mrvn. & largie & Vanoooo;1519;4;3;3;18;8;3;22.22;1098;151.34;8709;6269;2440;76;209;1710;832;878;10;73;128.29;146.4;804;1219;93;2040598;597.23;608.5;189.47;765.31;563.78;66.09;29.03;284;369.78;1025.42;369.78;817.09;578.1;581.16;474.21;339.81;1;2
10759794-0511-4573-82cb-cfbb57e7d88d;2020-01-24.22.42 seffe Ranked Standard Loss;;2020-01-24 22:42:42;jihuuu & Qazior & seffe;927;0;0;7;6;10;1;0;938;157.32;5179;3679;1500;47;136;735;377;358;6;31;91.64;134.43;388;991;221;1416690;547.94;387.57;81.04;638.8;347.24;30.5;32.36;268;308.7;707.83;308.7;710.31;306.23;526.86;324.86;164.82;0;2
10759794-0511-4573-82cb-cfbb57e7d88d;2020-01-24.22.42 seffe Ranked Standard Loss;;2020-01-24 22:42:42;Sneakyb4stard & Kuzon & Chaos;909;1;1;5;10;6;0;10;1090;172.49;6218;4399;1819;55;162;1504;884;620;11;56;101.31;122.7;788;1034;151;1523450;457.08;445.11;120.58;601.03;381.1;40.64;17.21;133;273.03;749.74;273.03;590.7;432.06;414.65;359.35;248.77;2;0
3effcf00-9c2b-4f73-8f99-78fe8a87b78d;2020-02-03.18.29 Kuzon Ranked Standard Win;Champions Field;2020-02-03 18:29:13;Berit beaver & Gib & OneM;986;3;2;2;10;10;6;30;1176;144.7;7102;5292;1810;61;163;1017;624;393;8;35;130.28;104.09;815;822;181;1596297;443.09;461.07;185.67;607.57;434.15;48.11;18.17;195;310.91;778.91;310.91;714.2;375.62;559.22;312.6;218.03;0;2
3effcf00-9c2b-4f73-8f99-78fe8a87b78d;2020-02-03.18.29 Kuzon Ranked Standard Win;Champions Field;2020-02-03 18:29:13;Sneakyb4stard & Kuzon & Chaos;1684;6;4;5;10;10;3;60;1205;144.83;6888;5121;1767;59;160;1036;569;467;7;42;107.01;91.54;452;626;55;1566378;468.28;486.86;143.14;560.58;477.38;60.33;18.29;163;325.45;772.83;325.45;726.41;371.86;522.96;363.24;212.09;2;0
3e672aa7-9ff1-4861-91a9-7f009be7bacd;2020-02-11.15.56 Kuzon Ranked Standard Loss;Farmstead;2020-02-11 15:56:27;TONY & pA ReKo sAM & whack;1264;2;1;8;7;11;1;28.57;1036;136.82;8176;5585;2591;65;207;1935;1248;687;14;59;212.21;177.67;840;943;149;2073944;732.75;586.66;145.44;796.31;593.43;75.08;34.53;301;424.47;1040.35;424.47;967.36;497.48;746.81;430.03;287.99;3;2
3e672aa7-9ff1-4861-91a9-7f009be7bacd;2020-02-11.15.56 Kuzon Ranked Standard Loss;Farmstead;2020-02-11 15:56:27;Sneakyb4stard & Kuzon & Chaos;969;1;1;3;11;7;2;9.09;1188;154.53;9870;7189;2681;88;242;2152;1171;981;14;85;145.55;149.84;1013;1324;215;2177730;639.61;653.48;171.5;854.37;549.74;60.49;28.52;228;467.25;997.35;467.25;884.75;579.86;609.06;511.44;344.1;2;3
3874664c-360b-4490-8e3f-d65034cfe5c6;2019-09-12.19.37 ycruP Ranked Standard Loss;Farmstead;2019-09-12 19:37:39;ZupaTr00pa & Spoodermon & ycruP;1266;2;1;7;8;11;3;25;995;160.48;7453;5395;2058;69;185;1685;1108;577;13;54;105.34;125.12;819;1278;91;1920686;601.75;589.74;146.02;776.05;496.95;64.51;28.31;277;431.82;905.69;431.82;855.14;482.37;626.74;430.01;280.76;2;2
3874664c-360b-4490-8e3f-d65034cfe5c6;2019-09-12.19.37 ycruP Ranked Standard Loss;Farmstead;2019-09-12 19:37:39;Sneakyb4stard & Kuzon & Chaos;1294;3;2;3;11;8;2;27.27;1095;167.91;8245;5977;2268;70;190;2469;1590;879;19;65;146.81;147.61;712;1062;335;1843261;696.02;498.3;142.89;771.62;492.85;72.74;21.59;147;386.66;950.54;386.66;804.33;532.88;578.7;443.82;314.68;2;2
80445cd0-2a05-4e7e-a46e-6da03df0fc7f;2019-10-30.18.30 SlikMik Ranked Standard Win;DFH Stadium (Stormy);2019-10-30 18:30:54;SpicyJ & Telamon & SlikMik;847;3;1;2;5;4;1;60;1018;177.43;5497;3796;1701;49;150;1269;787;482;9;44;52.4;113.13;553;838;42;1410174;456.56;393.17;126.82;579.98;354.36;42.19;24.51;215;230.68;745.85;230.68;561.82;414.72;382.81;376.39;217.34;1;4
80445cd0-2a05-4e7e-a46e-6da03df0fc7f;2019-10-30.18.30 SlikMik Ranked Standard Win;DFH Stadium (Stormy);2019-10-30 18:30:54;Sneakyb4stard & Kuzon & Chaos;741;1;1;2;4;5;3;25;1087;150.21;6066;4171;1895;50;171;2097;1381;716;16;63;94.08;69.59;521;824;192;1428095;454.12;404.08;126.78;532.33;396.5;56.16;14.58;119;354.98;630.01;354.98;619.43;365.55;473.43;307.06;204.49;4;1
02d8697f-c148-49be-bf11-ef2c023e99ff;2020-02-03.18.38 Kuzon Ranked Standard Win;Neo Tokyo (Standard);2020-02-03 18:38:10;migueleitor15 & ItsZalgo & Lukasito;598;1;0;2;4;6;4;25;1095;143.1;5240;4116;1124;47;102;620;414;206;5;19;111.57;115.94;755;631;90;1259785;395.4;365.81;114.01;473.71;346.48;55.03;17.08;149;286.44;588.78;286.44;612.1;263.12;455.7;280.04;139.49;0;0
02d8697f-c148-49be-bf11-ef2c023e99ff;2020-02-03.18.38 Kuzon Ranked Standard Win;Neo Tokyo (Standard);2020-02-03 18:38:10;Sneakyb4stard & Kuzon & Chaos;1042;4;2;2;6;4;1;66.67;1265;158.08;6146;4323;1823;55;158;1035;608;427;8;38;75.49;76.11;495;879;104;1297469;354.45;410.5;110.08;486.23;352.82;35.99;18.58;162;241.06;633.98;241.06;565.91;309.13;396.17;292.97;185.9;0;0
715a5840-f883-40a0-9146-d9748a3c58c1;2020-02-03.19.57 Kuzon Ranked Standard Win;Wasteland (Standard);2020-02-03 19:57:31;ThedridriX & RonnDon & Quazys-;763;2;1;3;6;8;3;33.33;1065;155.54;6475;4609;1866;55;164;1309;786;523;9;46;101.74;100.4;750;880;120;1514229;482.67;399.07;165.51;567.44;434.46;45.37;17.24;183;290.12;757.14;290.12;717.34;329.92;550.05;295.96;201.27;0;3
715a5840-f883-40a0-9146-d9748a3c58c1;2020-02-03.19.57 Kuzon Ranked Standard Win;Wasteland (Standard);2020-02-03 19:57:31;Sneakyb4stard & Kuzon & Chaos;960;3;2;1;8;6;2;37.5;1137;153.56;6773;4796;1977;61;178;1215;678;537;8;48;105.94;118.28;893;1120;123;1577483;432.96;458.63;165.56;617.83;402.8;36.52;18.06;146;310.78;746.38;310.78;644.01;413.16;448.91;367.9;240.34;3;0
9c84a330-b001-4ce9-96e5-454d79cf17e1;2020-02-03.15.02 Kuzon Ranked Standard Win;Urban Central (Night);2020-02-03 15:02:42;eikkuu & Meaks & Whiteleeyyy;1032;3;3;2;10;8;4;30;985;144.43;6030;4142;1888;51;158;1029;609;420;8;36;106.82;153.01;574;902;198;1479114;616.84;415.11;94.37;680.5;404.15;41.68;18.87;165;295.03;831.3;295.03;755.05;371.27;596.79;302.25;227.29;1;0
9c84a330-b001-4ce9-96e5-454d79cf17e1;2020-02-03.15.02 Kuzon Ranked Standard Win;Urban Central (Night);2020-02-03 15:02:42;Sneakyb4stard & Kuzon & Chaos;1392;4;4;5;8;10;3;50;1149;147.76;7134;5251;1883;64;172;1066;573;493;8;45;149.81;131.7;430;1096;234;1545554;537.7;468.48;119.4;633.37;435.95;56.27;17.99;147;332.89;792.7;332.89;708.58;417.01;517.6;353.62;254.37;0;1
70785114-a4f5-4b83-8896-72ed573e1396;2020-02-03.15.09 Kuzon Ranked Standard Win;Mannfield (Snowy);2020-02-03 15:09:15;Sneakyb4stard & Kuzon & Chaos;947;2;2;4;6;5;1;33.33;1235;142.84;6739;4859;1880;57;169;1786;1026;760;12;66;140.85;87.76;556;832;179;1453295;439.91;427.65;130.33;547.48;400.32;50.11;20.01;161;315.99;681.92;315.99;614.03;383.86;427.6;341.55;228.75;3;3
70785114-a4f5-4b83-8896-72ed573e1396;2020-02-03.15.09 Kuzon Ranked Standard Win;Mannfield (Snowy);2020-02-03 15:09:15;Brindle & orientir300 & quint .-;602;1;1;1;5;6;2;20;1116;144.54;6021;4181;1840;50;154;1446;817;629;9;45;132.19;134.24;815;888;95;1509568;420.79;426.09;151.14;556.94;379.67;61.42;21.1;188;296.4;701.62;296.4;667.46;330.56;497.25;313.09;187.67;3;3
af56a003-add9-408b-9703-32717b0583b3;2020-02-03.16.02 eikkuu Ranked Standard Loss;Urban Central (Night);2020-02-03 16:02:36;eikkuu & Meaks & Whiteleeyyy;1032;3;3;2;10;8;4;30;982;145.61;6009;4142;1867;51;158;1026;609;417;8;36;107.71;145.47;536;878;198;1479151;617.07;414.86;94.39;680.68;403.93;41.71;20.11;176;295.45;830.87;295.45;755.44;370.88;597.16;301.87;227.29;1;0
af56a003-add9-408b-9703-32717b0583b3;2020-02-03.16.02 eikkuu Ranked Standard Loss;Urban Central (Night);2020-02-03 16:02:36;Sneakyb4stard & Kuzon & Chaos;1392;4;4;5;8;10;3;50;1151;147.96;7157;5256;1901;64;173;1066;573;493;8;46;147.92;133.3;550;1192;234;1545328;537.73;468.81;118.92;632.82;436.39;56.23;17.34;139;332.88;792.58;332.88;708.4;417.05;518.16;353.06;254.23;0;1
b615279a-c2ad-4d72-8e3e-e80856a73594;2019-11-10.15.25 XD Ranked Standard Win;Champions Field;2019-11-10 15:25:01;Sneakyb4stard & Kuzon & Chaos;865;1;1;5;5;10;2;20;1019;152.27;6328;4583;1745;53;151;993;663;330;7;31;178.93;106.69;516;787;53;1478366;561.1;441.6;80.08;634.23;400.56;48;17.31;135;354.13;728.66;354.13;779.49;303.3;592.56;328.72;161.5;2;1
b615279a-c2ad-4d72-8e3e-e80856a73594;2019-11-10.15.25 XD Ranked Standard Win;Champions Field;2019-11-10 15:25:01;"Mausel Strausel & Smurf ""! & XD";773;2;0;1;10;5;1;20;1172;147.83;7143;4982;2161;63;179;1976;1208;768;16;62;131.73;158.05;933;1344;392;1523516;533.99;428.52;119.31;655.12;377.69;49.01;22.08;197;297.61;784.21;297.61;588.05;493.77;412.28;350.81;318.74;1;2
af54fbde-9088-468a-86a4-140492476cb8;2020-02-03.14.34 Kuzon Ranked Standard Win;Urban Central (Dawn);2020-02-03 14:34:28;. & SmaasHi & Hydrese;895;1;0;5;5;8;2;20;1046;154.52;5773;4002;1771;49;158;1066;696;370;8;31;73.37;120.52;613;951;89;1446153;452.97;431.93;123.04;541.13;417.95;48.85;21.74;179;353.73;654.21;353.73;760.02;247.9;600.22;264.26;143.45;2;0
af54fbde-9088-468a-86a4-140492476cb8;2020-02-03.14.34 Kuzon Ranked Standard Win;Urban Central (Dawn);2020-02-03 14:34:28;Sneakyb4stard & Kuzon & Chaos;873;2;1;3;8;5;1;25;1274;157.11;7176;5086;2090;63;172;1681;876;805;12;65;123.6;103.64;618;1175;263;1511967;410.67;439.46;153.08;540.67;413.03;49.52;21.28;158;281.1;722.12;281.1;495.03;508.19;329.22;332.42;341.57;0;2
